# Design Points of Design of Experiments
# Custom
# ,P1 - Young's Modulus Y direction (Pa) ,P3 - foundation stiffnez,P10 - bearings,P4 - Total Deformation Reported Frequency (Hz) ,P5 - Total Deformation 2 Reported Frequency (Hz) ,P6 - Total Deformation 3 Reported Frequency (Hz) ,P7 - Total Deformation 4 Reported Frequency (Hz) ,P8 - Total Deformation 5 Reported Frequency (Hz) ,P9 - Total Deformation 6 Reported Frequency (Hz) 
Name,P1,P3,P10,P4,P5,P6,P7,P8,P9
127,297363281.25,1447753906.25,750585937.5,0,53.535635470022449,77.782563277044275,92.706154428827816,120.33010858370258,121.50404645180332
128,200292968.75,1447753906.25,422851562.5,0,53.535336746402329,75.5006343784803,87.026463624238374,114.81182444419778,121.28491172710051
129,200292968.75,844238281.25,750585937.5,0,52.671249965012848,67.8715229559982,87.747273918014088,104.46794544383221,115.96505110088681
130,297363281.25,844238281.25,422851562.5,0,52.670826869513867,66.727837472629275,83.374914078861508,104.34799249286054,109.40645102946968
131,250292968.75,697753906.25,450585937.5,0,52.207170526635558,63.234893879950427,81.976459337467077,98.652341994122736,108.840488289894
132,147363281.25,697753906.25,450585937.5,0,52.207146298319593,63.228952446887831,81.950773305508918,98.652185387199509,108.79432471044811
133,250292968.75,697753906.25,522851562.5,0,52.207342619257552,63.499595373925843,83.105636097324009,98.681516363275662,110.77597024608373
134,250292968.75,594238281.25,450585937.5,0,51.722748827725368,60.048083590805533,79.99254370257529,94.0444718422684,107.84511503053324
135,147363281.25,594238281.25,522851562.5,0,51.722935138408936,60.251838220515822,80.955739447094075,94.068548680914162,109.78241101867863
136,150292968.75,1197753906.25,650585937.5,0,53.290773267746751,74.186437455764391,90.135547189488847,115.41461008706631,117.22996900914202
137,247363281.25,1197753906.25,650585937.5,0,53.290796171992334,74.197735742368721,90.171438005494167,115.41480721241328,117.27621772456861
138,150292968.75,1197753906.25,722851562.5,0,53.290819957542453,74.4501245379518,90.9560379532155,115.43999322332473,118.21071675412789
139,150292968.75,1094238281.25,650585937.5,0,53.154053428230128,72.579480560501352,89.397006074373337,112.54341683396382,116.45007966231238
140,247363281.25,1094238281.25,722851562.5,0,53.154127690599282,72.824625364989785,90.217929416787285,112.56659079583447,117.50942627962453
141,175292968.75,1322753906.25,400585937.5,0,53.425218300696315,73.947428660913872,85.902823670379448,113.13466750493671,118.39286095019638
142,222363281.25,1322753906.25,400585937.5,0,53.425230247356225,73.953957668251533,85.918579012706289,113.15058520637278,118.39299787725422
143,175292968.75,1322753906.25,772851562.5,0,53.425549982159936,76.342409821669264,92.236597931434787,118.62448933038685,119.67716661084947
144,175292968.75,1469238281.25,400585937.5,0,53.552220761792071,75.3959605782496,86.426355450279559,114.40789472798501,121.72107370133945
145,222363281.25,1469238281.25,772851562.5,0,53.552532969013548,78.090989992422053,92.999270766184978,120.673610044563,121.98152667050454
146,275292968.75,822753906.25,600585937.5,0,52.614497380706311,67.0108426425008,86.03238542436938,103.6428192536538,113.50908384647686
147,122363281.25,822753906.25,600585937.5,0,52.614467203991822,67.00014139095164,85.9876881549431,103.64262386466497,113.43218415205948
148,275292968.75,822753906.25,572851562.5,0,52.614460344467943,66.925225812381854,85.690877434965913,103.63381591738555,112.97273792775232
149,275292968.75,969238281.25,600585937.5,0,52.946494108157779,70.1679221344116,87.720771921557457,108.70637441081924,114.70704848692942
150,122363281.25,969238281.25,572851562.5,0,52.946433366518022,70.046975497708019,87.293465183198961,108.69534214689064,114.11988760331116
151,225292968.75,1072753906.25,500585937.5,0,53.121959488330141,71.520858871629855,86.989750498636042,111.84631036046882,113.5195782640197
152,272363281.25,1072753906.25,500585937.5,0,53.121978009565161,71.525876131325091,87.0055641813224,111.84648932211387,113.53997208929296
153,225292968.75,1072753906.25,472851562.5,0,53.121919460551183,71.337433121568353,86.432078924577269,111.82795766127605,112.86133845844064
154,225292968.75,719238281.25,500585937.5,0,52.288462988054569,64.027015017346415,83.144968229272664,99.567235866514935,110.40891786866781
155,272363281.25,719238281.25,472851562.5,0,52.288418120456,63.924264744844628,82.7156992077046,99.555820884693631,109.69471118528836
156,125292968.75,572753906.25,700585937.5,0,51.597905875782686,59.803777828144838,81.933084579773208,93.078407063411532,113.01731828544852
157,172363281.25,572753906.25,700585937.5,0,51.597903807340053,59.805572659898672,81.942866200219115,93.0784041516311,113.04332645298139
158,125292968.75,572753906.25,672851562.5,0,51.597863654994292,59.767716064438453,81.749900671373439,93.074115359615817,112.57923340951243
159,125292968.75,1219238281.25,700585937.5,0,53.316069207223684,74.684475157154267,90.8521202783077,115.99950585698647,118.0690292679393
160,172363281.25,1219238281.25,672851562.5,0,53.316049129395815,74.586646269020292,90.5525801589199,115.98951292678906,117.71779925422366
161,137792968.75,1010253906.25,475585937.5,0,53.020551899561639,70.302039444512417,85.9977378683115,109.94264060824145,112.34423626667207
162,109863281.25,1010253906.25,475585937.5,0,53.020561472750224,70.299558877655926,85.98940989554103,109.9427512024622,112.33300249041478
163,137792968.75,1010253906.25,447851562.5,0,53.020504414878033,70.111771392493878,85.402280259136717,109.92344122532509,111.62046297883902
164,137792968.75,1031738281.25,475585937.5,0,53.056895428048037,70.6718330924243,86.163763677297183,110.60300151930699,112.53349419377081
165,109863281.25,1031738281.25,447851562.5,0,53.056858607774373,70.473706282497247,85.554252921421451,110.58340960713953,111.80437219807935
166,237792968.75,510253906.25,675585937.5,0,51.164808456939291,57.374616838519117,79.872163663252039,89.937889467046759,112.12762526736893
167,209863281.25,510253906.25,675585937.5,0,51.164799190625,57.37364912359952,79.866855069002057,89.937847227941049,112.11183726246949
168,237792968.75,510253906.25,647851562.5,0,51.164755737075218,57.341848538192977,79.698256955339545,89.933821337162328,111.65600631232819
169,237792968.75,531738281.25,675585937.5,0,51.326632636527968,58.231185285951128,80.574473540589565,91.0417809895609,112.32253192065464
170,209863281.25,531738281.25,647851562.5,0,51.32657332971479,58.195278569392478,80.386719787515759,91.037474394836835,111.83688291942269
171,287792968.75,1260253906.25,575585937.5,0,53.361680599204092,74.706968896329386,89.500588006824231,116.55873639397646,117.00185894030082
172,159863281.25,1260253906.25,575585937.5,0,53.36164067105716,74.690721203803648,89.453229336492114,116.50229563249732,117.00134993332502
173,287792968.75,1260253906.25,747851562.5,0,53.361796160992704,75.441714584111935,91.667719525711007,117.07090027372745,119.02297699192707
174,287792968.75,781738281.25,575585937.5,0,52.4967762211,65.926966411601342,85.153716790257988,102.08397653933079,112.68635504889673
175,159863281.25,781738281.25,747851562.5,0,52.496931354936351,66.308112883002437,86.765710964066756,102.12535630603568,115.42201592478368
176,187792968.75,760253906.25,775585937.5,0,52.429692245837806,65.784706812898762,86.607611593426071,101.29051724451766,115.62402802050671
177,259863281.25,760253906.25,775585937.5,0,52.429716146405021,65.789164915171511,86.628196091035562,101.29066806681479,115.66525762447816
178,187792968.75,760253906.25,547851562.5,0,52.429421833889684,65.282486330691555,84.449183677221413,101.23636959100722,111.86958370389121
179,187792968.75,1281738281.25,775585937.5,0,53.3844474010907,75.810233854657383,92.0267336620837,117.61875294078585,119.43343674864867
180,259863281.25,1281738281.25,547851562.5,0,53.3843190033831,74.813617068370931,89.141187862861841,116.21146711988881,117.52361793046573
181,162792968.75,635253906.25,525585937.5,0,51.93603324022596,61.614001410421452,81.912491696391683,95.9603849735399,110.23319970707996
182,284863281.25,635253906.25,525585937.5,0,51.9360716488583,61.620057562532892,81.941383931479876,95.960604417565733,110.29383570204206
183,162792968.75,635253906.25,597851562.5,0,51.936178124192523,61.782939620766975,82.702857259634612,95.979648336304166,111.80274950842123
184,162792968.75,1156738281.25,525585937.5,0,53.239633773137982,72.962704278165617,87.9974915452151,114.24573577283969,114.73590454065391
185,284863281.25,1156738281.25,597851562.5,0,53.239744775843413,73.364634691445019,89.206637583711824,114.28446151345801,116.14555123555169
186,262792968.75,1135253906.25,725585937.5,0,53.211517079821675,73.508637370850082,90.575720290467729,113.73537104262317,117.85142174385022
187,184863281.25,1135253906.25,725585937.5,0,53.2114913689154,73.50016620856394,90.5467955757006,113.7351391390691,117.81145326221446
188,262792968.75,1135253906.25,797851562.5,0,53.211557129456139,73.70623990503158,91.236345358481159,113.75450334578774,118.69834668026778
189,262792968.75,656738281.25,725585937.5,0,52.036152893576542,62.690894889013713,84.239785899097285,96.962391288729819,114.17259893952354
190,184863281.25,656738281.25,797851562.5,0,52.03620257623917,62.779565281209472,84.666304546337557,96.972769751852226,115.07524860917712
191,212792968.75,885253906.25,425585937.5,0,52.770570913012406,67.608641422838119,83.834229559435869,105.80398644314,109.84693603600122
192,234863281.25,885253906.25,425585937.5,0,52.770578407527893,67.610487660996384,83.840655810709734,105.80404713159351,109.85605857548317
193,212792968.75,885253906.25,697851562.5,0,52.770958045313108,68.704579194664262,87.845476540275357,105.91705666015116,115.5712753857029
194,212792968.75,906738281.25,425585937.5,0,52.818892152238945,68.0426306439033,84.038994318106617,106.54331135372131,110.05053915428981
195,234863281.25,906738281.25,697851562.5,0,52.819276309933919,69.177156282296266,88.1145608206006,106.65956148119065,115.74992424327999
196,112792968.75,1385253906.25,625585937.5,0,53.483141696659935,76.491630525612351,90.821750284107623,118.21658072553629,120.04283546035492
197,134863281.25,1385253906.25,625585937.5,0,53.483133990157114,76.494468506929792,90.82981825246,118.22588151053691,120.04269144960976
198,112792968.75,1385253906.25,497851562.5,0,53.483033507709827,75.634424942678137,88.60282426872547,115.98262627899615,119.96050074049815
199,112792968.75,1406738281.25,625585937.5,0,53.501708727198526,76.7355634511908,90.92055215177696,118.37087094500725,120.53373229910089
200,134863281.25,1406738281.25,497851562.5,0,53.501594382846989,75.866561920062949,88.698004525195586,116.15996414303808,120.44992004693687
201,119042968.75,541503906.25,438085937.5,0,51.394787965062392,58.138049391784634,78.497471592957879,91.47817487392409,106.86883081677605
202,266113281.25,541503906.25,438085937.5,0,51.394812717946706,58.143766581626913,78.526561112620058,91.478322509067709,106.9358769040869
203,119042968.75,541503906.25,710351562.5,0,51.3954631199612,58.645909242421688,81.06716055201521,91.539415671499825,112.88786449058146
204,119042968.75,625488281.25,438085937.5,0,51.887897827905213,61.018723952910648,80.416382694036827,95.48609224697789,107.69878004411032
205,266113281.25,625488281.25,710351562.5,0,51.888484867007655,61.656430480724296,83.408042715560427,95.5585105999911,113.69343899852286
206,219042968.75,1041503906.25,638085937.5,0,53.073078726931413,71.637439339763048,88.8362826561105,110.97809558398963,115.88361363144685
207,166113281.25,1041503906.25,638085937.5,0,53.073066619711859,71.632300402617958,88.818109882008045,110.97800336158319,115.85760443571598
